	loss	arch	us	ds	us_epochs	us_lr	us_bs	us_wd	ds_epochs	ds_lr	ds_bs	ds_wd	zero	1	5	10	20	full	100	200
38	CLIP	RN50	CC3m	CIFAR100	16	0.001	512	0.1	128	3E-06	128	0.1	13.74	18.75	20.53	22.83	26.12	61.72		
39	CLIP	RN50	CC3m	CIFAR100	16	0.001	512	0.1	128	1E-05	32	0.1	13.77	22.73	28.11	36.78	44.16	76.73		
40	CLIP	RN50	CC3m	CIFAR100	16	0.001	512	0.1	128	1E-05	64	0.1	13.74	19.63	25.65	32.69	40.99	74.15		
41	CLIP	RN50	CC3m	CIFAR100	16	0.001	512	0.1	128	1E-05	128	0.1	13.74	18.76	24.13	29.14	37.08	72.23		
42	CLIP	RN50	CC3m	CIFAR100	16	0.001	512	0.1	128	3E-05	32	0.1	13.77	23.83	36.41	43.77	51.77	81.49		
43	CLIP	RN50	CC3m	CIFAR100	16	0.001	512	0.1	128	3E-05	64	0.1	13.74	21.96	33.91	42.31	49.88	80.2		
44	CLIP	RN50	CC3m	CIFAR100	16	0.001	512	0.1	128	3E-05	128	0.1	13.74	19.91	30.48	39.9	47.69	78.8		
45	CLIP	RN50	CC3m	CIFAR100	16	0.001	512	0.1	128	0.0001	32	0.1	13.77	22.71	37.32	45.16	51.67	83.45		
46	CLIP	RN50	CC3m	CIFAR100	16	0.001	512	0.1	128	0.0001	64	0.1	13.74	23	36.73	45.21	52.23	82.35		
47	CLIP	RN50	CC3m	CIFAR100	16	0.001	512	0.1	128	0.0001	128	0.1	13.74	22.27	36.08	44.72	52.26	81.81		
48	CLIP	RN50	CC12m	DTD	16	0.001	1024	0.1	64	1E-05	32	0.1	2.66	2.926	7.128	16.064	32.447	48.245		
49	CLIP	RN50	CC12m	DTD	16	0.001	1024	0.1	64	1E-05	64	0.1	2.66	2.766	3.351	11.117	25.213	41.277		
50	CLIP	RN50	CC12m	DTD	16	0.001	1024	0.1	64	1E-05	128	0.1	2.66	2.766	2.872	3.83	16.649	33.245		
51	CLIP	RN50	CC12m	DTD	16	0.001	1024	0.1	64	3E-05	32	0.1	2.66	3.138	21.543	35.266	49.947	61.117		
52	CLIP	RN50	CC12m	DTD	16	0.001	1024	0.1	64	3E-05	64	0.1	2.66	2.766	7.926	29.734	46.702	58.032		
53	CLIP	RN50	CC12m	DTD	16	0.001	1024	0.1	64	3E-05	128	0.1	2.66	2.766	3.457	11.436	39.947	54.043		
54	CLIP	RN50	CC12m	DTD	16	0.001	1024	0.1	64	0.0001	32	0.1	2.66	4.894	33.936	44.947	55.585	65.266		
55	CLIP	RN50	CC12m	DTD	16	0.001	1024	0.1	64	0.0001	64	0.1	2.66	3.245	24.628	42.819	54.84	64.521		
56	CLIP	RN50	CC12m	DTD	16	0.001	1024	0.1	64	0.0001	128	0.1	2.66	3.245	9.149	33.191	52.34	63.777		
57	CLIP	RN50	CC12m	DTD	16	0.001	1024	0.1	128	1E-05	32	0.1	2.66	3.457	15.532	28.936	45.851	57.553		
58	CLIP	RN50	CC12m	DTD	16	0.001	1024	0.1	128	1E-05	64	0.1	2.66	3.032	10.957	23.085	39.894	53.723		
59	CLIP	RN50	CC12m	DTD	16	0.001	1024	0.1	128	1E-05	128	0.1	2.66	3.032	3.777	16.649	32.5	47.553		
60	CLIP	RN50	CC12m	DTD	16	0.001	1024	0.1	128	3E-05	32	0.1	2.66	5.372	29.84	42.34	53.883	64.84		
61	CLIP	RN50	CC12m	DTD	16	0.001	1024	0.1	128	3E-05	64	0.1	2.66	3.245	26.117	39.574	51.968	63.032		
62	CLIP	RN50	CC12m	DTD	16	0.001	1024	0.1	128	3E-05	128	0.1	2.66	3.245	11.223	35.426	49.362	60.372		
63	CLIP	RN50	CC12m	DTD	16	0.001	1024	0.1	128	0.0001	32	0.1	2.66	11.383	38.245	48.191	56.968	64.84		
64	CLIP	RN50	CC12m	DTD	16	0.001	1024	0.1	128	0.0001	64	0.1	2.66	2.766	36.011	46.277	56.17	65.851		
65	CLIP	RN50	CC12m	DTD	16	0.001	1024	0.1	128	0.0001	128	0.1	2.66	6.17	27.021	43.883	55	65.532		
66	CLIP	RN50	CC12m	CIFAR100	16	0.001	1024	0.1	64	1E-05	32	0.1	13.92	18.93	24.77	27.91	35.71	71.09		
67	CLIP	RN50	CC12m	CIFAR100	16	0.001	1024	0.1	64	1E-05	64	0.1	13.92	18.09	23.69	26.51	31.8	68.49		
68	CLIP	RN50	CC12m	CIFAR100	16	0.001	1024	0.1	64	1E-05	128	0.1	13.92	18.21	20.87	24.99	28.41	65.29		
69	CLIP	RN50	CC12m	CIFAR100	16	0.001	1024	0.1	64	3E-05	32	0.1	13.92	21.18	29.51	38.73	46.69	78.35		
70	CLIP	RN50	CC12m	CIFAR100	16	0.001	1024	0.1	64	3E-05	64	0.1	13.92	19.4	27.25	35.22	43.7	76.79		
71	CLIP	RN50	CC12m	CIFAR100	16	0.001	1024	0.1	64	3E-05	128	0.1	13.92	18.28	23.79	31.21	39.71	74.18		
72	CLIP	RN50	CC12m	CIFAR100	16	0.001	1024	0.1	64	0.0001	32	0.1	13.92	22.92	36	44.69	52.2	81.99		
73	CLIP	RN50	CC12m	CIFAR100	16	0.001	1024	0.1	64	0.0001	64	0.1	13.92	22	34.63	42.69	50.86	81.05		
74	CLIP	RN50	CC12m	CIFAR100	16	0.001	1024	0.1	64	0.0001	128	0.1	13.92	19.85	27.65	40.16	48.99	80.2		
75	CLIP	RN50	CC12m	CIFAR100	16	0.001	1024	0.1	128	1E-05	32	0.1	13.92	22.86	27.47	34.45	43.05	76.28		
76	CLIP	RN50	CC12m	CIFAR100	16	0.001	1024	0.1	128	1E-05	64	0.1	13.92	20.01	25.22	31.23	39.7	74.12		
